"id","country","geolocation","level","adm1","location","disastertype","continent"
0,"Albania","42.016670, 19.416670",3,"shkoder","ana e malit","flood","Europe"
1,"Albania","41.958759, 19.533413",3,"shkoder","bushat","flood","Europe"
2,"Angola","-17.066670, 15.733330",3,"cunene","onjiva","flood","Africa"
3,"Angola","-16.552909, 15.741931",3,"cunene","evale","flood","Africa"
4,"Angola","-16.161848, 15.744649",3,"cunene","mupa","flood","Africa"
5,"Angola","-17.066670, 15.733330",3,"cunene","onjiva","flood","Africa"
6,"Angola","-16.552909, 15.741931",3,"cunene","evale","flood","Africa"
7,"Angola","-16.161848, 15.744649",3,"cunene","mupa","flood","Africa"
8,"Bangladesh","22.340000, 91.090000",3,"chittagong","hatiya","storm","Asia"
9,"Bangladesh","24.495380, 89.970180",3,"dhaka","ghatail","storm","Asia"
10,"Bangladesh","22.961140, 89.910260",3,"dhaka","gopalpur","storm","Asia"
11,"Bangladesh","24.350000, 89.950000",3,"dhaka","kalihati","storm","Asia"
12,"Bangladesh","24.102870, 90.098410",3,"dhaka","mirzapur","storm","Asia"
13,"Bangladesh","23.424840, 90.477750",3,"dhaka","sarishabari","storm","Asia"
14,"Bangladesh","21.620000, 91.930000",3,"chittagong","moheshkali","storm","Asia"
15,"Bangladesh","22.508460, 91.797300",3,"chittagong","hathazari","flood","Asia"
16,"Bangladesh","22.295430, 91.979000",3,"chittagong","patiya","flood","Asia"
17,"Bangladesh","22.095194, 92.072281",3,"chittagong","satkania","flood","Asia"
18,"Bangladesh","23.540000, 91.120000",3,"chittagong","burichang","flood","Asia"
19,"Bangladesh","23.228550, 91.329820",3,"chittagong","chouddogram","flood","Asia"
20,"Bangladesh","25.000000, 92.210000",3,"sylhet","kanaighat","flood","Asia"
21,"Bangladesh","24.920000, 92.380000",3,"sylhet","zakiganj","flood","Asia"
22,"Bangladesh","22.030000, 91.930000",3,"chittagong","banshkhali","storm","Asia"
23,"Bangladesh","21.620000, 91.930000",3,"chittagong","moheshkhali","storm","Asia"
24,"Bangladesh","21.440000, 92.120000",3,"chittagong","ramu","storm","Asia"
25,"Bangladesh","22.095194, 92.072281",3,"chittagong","satkania","storm","Asia"
26,"Bangladesh","22.833330, 91.283330",3,"chittagong","companiganj","storm","Asia"
27,"Bangladesh","22.340000, 91.090000",3,"chittagong","hatiya","storm","Asia"
28,"Belgium","50.249482, 4.943200",3,"wallonie","dinant","flood","Europe"
29,"Bolivia","-17.694135, -67.711235",3,"la paz","papel pampa","flood","Americas"
30,"Bolivia","-17.654015, -68.049145",3,"la paz","san pedro de curahuara","flood","Americas"
31,"Bosnia & Herzegovina","44.056076, 17.448911",3,"federacija bosna i hercegovina","bugojno","flood","Europe"
32,"Bosnia & Herzegovina","44.340786, 17.272276",3,"federacija bosna i hercegovina","jajce","flood","Europe"
33,"Bosnia & Herzegovina","44.056076, 17.448911",3,"federacija bosna i hercegovina","bugojno","flood","Europe"
34,"Bosnia & Herzegovina","44.144115, 17.396614",3,"federacija bosna i hercegovina","donji vakuf","flood","Europe"
35,"Bosnia & Herzegovina","44.350611, 17.170516",3,"repuplika srpska","jezero","flood","Europe"
36,"Bosnia & Herzegovina","44.534741, 18.532381",3,"federacija bosna i hercegovina","lukavac","flood","Europe"
37,"Bosnia & Herzegovina","44.545533, 18.103562",3,"federacija bosna i hercegovina","maglaj","flood","Europe"
38,"Bosnia & Herzegovina","44.978747, 16.710058",3,"repuplika srpska","prijedor","flood","Europe"
39,"Bosnia & Herzegovina","44.872029, 17.665483",3,"repuplika srpska","prnjavor","flood","Europe"
40,"Bosnia & Herzegovina","44.763923, 16.664741",3,"federacija bosna i hercegovina","sanski most","flood","Europe"
41,"Bosnia & Herzegovina","45.097361, 17.515750",3,"repuplika srpska","srbac","flood","Europe"
42,"Bosnia & Herzegovina","44.226589, 17.660526",3,"federacija bosna i hercegovina","travnik","flood","Europe"
